Afli eftir fisktegundum og löndunarhöfnum, janúar 2010 - september 2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;2025;;;;;;;;;;;;2024;;;;;;;;;;;;2023;;;;;;;;;;;;2022;;;;;;;;;;;;2021;;;;;;;;;;;;2020;;;;;;;;;;;;2019;;;;;;;;;;;;2018;;;;;;;;;;;;2017;;;;;;;;;;;;2016;;;;;;;;;;;;2015;;;;;;;;;;;;2014;;;;;;;;;;;;2013;;;;;;;;;;;;2012;;;;;;;;;;;;2011;;;;;;;;;;;;2010;;;;;;;;;;;
;Raufarhöfn;26952;48481;48431;25226;31410;27169;12572;..;56880;..;..;..;19;40184;31749;31062;39038;7729;..;2654;18117;59112;42949;15771;2522;12183;23101;21363;45345;653;50;8652;21436;56283;84913;25406;3403;2021;784;251;3630;724;154;636;4173;15797;6552;1835;8213;10589;7992;1935;7584;10688;904;3640;13057;19911;35061;6188;14730;15720;2396;1740;25381;5573;77;8074;63052;43149;11017;3972;20138;28146;115;1521;31657;47022;789;36160;70253;23388;34971;4499;20894;11796;979;395;56885;60773;18439;46727;43359;47983;31619;8122;707;1885;8569;8;12;18935;1839;4340;25317;20780;22182;11659;27324;12618;4090;1786;10559;1282;554;11093;70151;48831;31131;4248;22863;1103;2311;488;6662;7673;450;9163;48700;83239;60285;8715;12662;1067;3261;10590;14709;21727;1696;10623;67719;65547;22759;11245;14284;4838;3291;8257;13707;6883;3647;2554;71305;68878;56538;18758;13618;17760;18831;5526;11143;21537;2704;1164;6455;30176;26176;17584;10164;17649;6682;7824;1203;18068;20443;10335;10095;15624;40166;2751;41281;3526;17848;17445;11175;24819;1856;22264;16536;13858;35350;25432
;Reykhólar;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;Reykjavík;590830;644866;774992;1165788;730300;133873;711983;148232;236764;..;..;..;439681;444787;754656;1545611;1294504;497026;1144491;490663;435192;733345;429240;478094;401903;604509;647048;579115;617146;410418;537382;733860;252820;790233;572317;436303;259523;360366;536786;717283;370897;327586;610534;853270;477238;687225;882177;173070;196054;574604;563453;686505;267421;166050;682049;813365;291896;445909;275034;388384;325350;672267;646110;517704;57169;15096;381757;470420;367560;253550;307044;446884;1141859;800674;603912;998646;162430;85113;806053;775664;327218;258527;284017;380455;153542;156831;228511;425843;117882;93042;447692;544317;114351;180772;1050639;394146;5009;29036;265497;421575;189203;222980;202165;616078;148102;111557;211146;142508;231530;530182;510823;282185;124966;82336;250116;300317;198522;125279;144046;140456;128054;427507;686174;337297;313299;50796;326926;234427;240230;176261;197450;365560;164245;759931;724648;440383;306280;64057;124789;284808;55880;323621;197512;222976;327660;646594;812840;791681;280121;196821;279788;19030;383828;203418;418604;181881;207052;443637;1012271;964898;196933;40407;433695;264794;154795;199883;286608;133321;190287;149659;628347;1325275;430166;173625;218763;603847;118973;320840;497896;502917;275270;357560;933238;500505;177294;183291;654196;1047156;306252;249103;216206;377081
;Reyðarfjörður;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;0;..;0;..;..;0;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;25;..;..;..;0;..;..;..;..;..;839;..;..;..;..;..;..;..;..;..;..;0;..;..;..;..;..;..;..;..;..;..;..;..;..;75;..;..;..;..;..;..;..;..;..;..;..;..;..;0;351;..;..;..;..;..;..;..;..;..;294;..;..;..;..;8133;..;..;..;..;..;..;0;..;..;..;..
;Rif;414925;832428;592103;151798;181711;69428;90;107102;166730;..;..;..;336964;603312;464562;202816;217986;106956;172;91554;181343;242188;154262;182623;317788;374046;321199;113713;236025;72194;17034;102905;223740;377491;242926;168688;287453;227562;255848;84404;191683;122123;13253;65864;278450;387996;343984;236023;265418;406202;373972;164944;429130;41959;11390;90750;79267;151405;302935;279861;238560;262378;217600;103032;178809;65178;3734;3924;134627;76744;122366;203413;251165;383857;459090;208230;282335;22096;9257;33665;77884;74923;105129;84220;197282;239186;308124;131202;197764;22416;13;21083;70136;33570;70042;137247;67246;163366;320625;121334;202030;58347;4273;22106;61951;66060;71720;105043;245770;286891;179889;100973;164530;30230;62;56475;66414;49120;60578;85383;256235;271767;225410;100350;171800;106913;35536;36515;69800;86491;150912;185630;477937;230472;354437;111988;139299;118693;37349;73446;55040;51374;120102;118941;367574;599750;274691;125860;246181;20289;467;16345;99020;74787;145519;112005;479376;538935;311479;87441;108871;22003;112;41028;64870;62124;103550;100049;357178;552671;428883;59900;157598;31922;4116;86808;87252;68135;174976;148582;513290;506292;494647;116497;144131;36417;4792;57529;134038;97842;159162;180413
;Sandgerði;139211;164784;712905;390824;98214;63048;18740;104690;104566;..;..;..;119920;163234;336611;275783;178471;36631;5042;79204;78332;137726;48890;122522;105953;114268;212928;48788;77964;21861;2716;143493;179346;168008;123405;149118;29959;84766;396457;62805;98148;27768;7967;145781;271853;167022;147146;119368;152370;140263;226100;141761;70031;28359;15632;115087;123510;106971;146284;231558;193784;95655;142755;62427;42579;3410;25070;52371;51190;62110;215794;243472;145088;114221;334830;291425;58826;509;20605;31648;8305;10613;93751;136118;164235;76389;248695;186397;48233;747;3004;19282;19196;33316;216304;113769;83515;81818;214739;130136;66209;18035;5987;20141;24532;33213;33579;149454;177086;109136;291979;267371;53840;34780;1620;9692;24584;5693;44078;30989;128941;94104;211552;89556;86123;42198;38213;7306;34171;18573;57686;142003;223812;171048;260328;168065;52901;2000;761;13601;25195;33502;55708;95619;251997;290415;337632;288822;32856;2186;867;10098;17342;45369;74899;103647;373090;203256;554920;198452;217351;16523;17815;49540;48369;74051;158518;175377;262984;375672;588835;193960;314350;37842;17467;14049;38489;37035;166622;327107;263964;265222;670714;410127;343343;282861;100547;88965;81473;66487;234203;293360
;Sauðárkrókur;566906;315745;470178;308642;210191;272185;665196;872673;788473;..;..;..;340947;154442;152786;417992;498576;334432;321883;629382;783097;419021;223825;401116;106296;449107;248416;224608;239427;61605;7839;74524;758413;643312;492446;354825;130664;342398;135063;117367;271596;241863;7624;45422;304668;398955;422755;308051;305940;94276;192842;176526;211002;375868;56426;43720;189470;147011;170060;265838;327371;82787;105236;149218;101929;126444;117577;203168;394263;525131;341236;370682;335126;98277;123767;313556;339725;206160;197973;329531;416088;421337;231970;316319;70035;99733;124718;40431;122941;157488;111363;199368;310582;500784;181734;214536;4398;43548;170911;84614;93116;80993;65728;45126;228918;216267;392557;168782;99721;128450;134938;197221;88968;104228;33373;11423;126344;132604;52127;25752;33661;91105;155445;68630;53817;10293;54650;40407;51243;100513;134675;44464;26874;90415;94209;32842;35485;5072;56555;3311;57364;23196;40353;16774;158024;29379;235873;75830;48290;5882;16375;2225;124417;71996;113198;123932;37939;129139;107789;225754;199169;28983;108895;11802;19590;75495;176279;49582;14495;83866;193719;120011;214341;165565;2281;41594;91956;26656;82350;46408;7007;89618;61708;89070;10670;39275;96161;415263;153895;156190;84789;75732
;Seyðisfjörður;111456;96424;12358;100887;173125;226610;47639;84613;117319;..;..;..;63763;166205;85599;76934;244852;142909;100475;28074;187595;172027;158210;76212;92881;88930;19736;127170;151612;148253;170149;41029;71939;159530;128623;106268;552;63925;9105;45948;88022;99987;60698;54952;27828;63485;136447;72540;90752;121384;66991;14342;129654;159456;27220;105417;164078;116652;146441;46959;33116;12057;13064;34253;164653;187299;..;59083;121966;74406;64481;109399;160773;159173;12594;23495;120044;27761;38515;63681;238100;95485;196318;27217;163474;112355;78503;75653;44561;27504;99300;170931;218460;155699;131445;8746;2377;22166;65107;92784;121667;3422;3980;59702;74334;172042;103135;16653;47119;43038;4752;3608;14638;22562;2016;57564;143676;99423;38064;12738;108531;22311;14155;1855;22743;71920;910;50382;59157;14400;53393;15945;26734;12607;21995;16600;34918;7719;2057;12452;20109;7759;10053;8366;55632;31439;3332;9111;34730;19575;7737;7714;55876;76032;50345;15024;104888;61408;39106;16779;111250;55797;13944;28730;31689;87078;39122;26447;21985;87161;52440;14849;57435;31816;32170;82031;141175;66425;112938;31752;48987;144116;50218;40716;115098;134370;26;35405;91322;119056;93468;33139
;Siglufjörður;38351;495338;700110;472157;272553;2413;276630;587770;205772;..;..;..;51164;264016;49915;39581;765423;2221;491318;559865;311705;609983;410070;419833;204664;136398;60179;82088;454287;465290;430807;582129;349429;570220;100815;139965;49886;178684;54384;22788;74624;90502;95478;67576;225232;236332;298398;181625;104010;209889;123743;119383;51559;8742;59064;380488;167311;291950;438839;247777;39386;284980;104429;34734;8721;48066;110642;135542;355606;572927;626261;268736;364262;111208;170100;137941;184827;21274;416573;264152;343622;307756;451571;184567;164683;94395;184471;63577;19076;40932;39651;281304;111423;216764;241776;163191;54050;51243;41865;12350;16470;23487;14680;158611;146090;204122;218965;200768;238449;206000;178980;167692;37757;55489;70926;295782;380439;350796;253489;230958;233859;388306;473228;56822;87567;60257;127124;41654;187202;273299;287110;237323;322890;235991;231684;47280;131981;75759;110666;86726;325569;191161;223131;135114;319687;481164;261407;123441;48947;76658;76057;96553;251262;474968;387197;226160;200338;336076;180045;170804;82782;274602;75378;135196;175267;325444;184757;139410;141196;128697;122636;63499;60952;66991;112945;183634;257390;499531;345114;269063;115640;22918;16272;24283;20639;67948;73458;251504;300896;246025;164067;188517
;Skagaströnd;45948;28967;32020;1586;2575;294218;265607;366810;286240;..;..;..;213289;21626;6113;3426;14998;34283;454305;338603;416473;847250;386747;45272;27620;128794;1793;2778;8039;9372;218419;531355;314135;683440;395032;265088;98621;3821;991;746;22807;6382;2540;109954;569083;466343;412027;119600;5762;4599;2148;2026;2019;11102;27675;337342;431172;519992;401770;98123;22942;9579;10285;2173;9224;34436;45801;288376;475277;405014;216080;23621;42720;27018;24693;36361;7513;30878;82524;221978;293173;170160;154205;72768;63472;54962;112152;4855;56955;51252;117593;245045;298937;482726;201359;79233;58195;25505;36948;5429;108381;119553;86259;262978;337253;398835;141453;153370;88311;15038;178047;7162;67315;39974;102218;348892;347669;458876;424450;123484;95723;325685;256869;1042;27775;134234;224417;303325;420108;465182;266876;165652;77692;125990;241255;59796;8244;24022;55313;143087;109872;226308;311312;200742;176401;207308;192976;195994;59876;37402;86150;118624;300716;534447;650534;400106;254608;176118;69671;236340;39647;73405;199145;178920;228546;424521;243384;174050;83808;164385;109351;146301;60086;69283;120101;239836;625460;584153;431600;132248;123608;273068;109072;55745;5968;14727;148570;438066;490792;530564;558515;217799
;Skarðsstöð;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;Stöðvarfjörður;105805;11225;16244;10051;110131;70971;118095;60853;24024;..;..;..;122267;33450;14924;8632;82430;53415;61416;184814;107835;99268;100888;99535;103952;47796;1450;30659;25459;58994;106297;148553;81310;34359;105701;175696;64586;1118;..;..;29236;37646;94893;4228;4410;43396;126520;85134;95115;7220;..;..;3200;3097;4582;4312;10476;63222;52109;32451;90130;43926;2956;2745;1406;4605;35409;6430;30334;64417;153624;114721;113255;50778;4555;4161;12399;3903;21281;19891;18463;14672;72146;98443;143142;44036;15163;17078;24291;6545;8705;45499;33321;53065;126600;106443;100954;76179;19961;9556;29581;11969;38492;70734;72660;75436;186747;128851;39460;18891;9712;1082;21790;16575;33092;46731;78518;60166;85134;66180;42735;10643;2593;..;149;25750;68770;68951;50191;33213;54207;40235;31376;26048;15626;10977;8626;71470;85749;74465;59073;110105;86781;37115;20668;15486;5193;3600;28614;12013;35117;32037;53853;115972;76052;46714;32302;18671;1541;8128;1212;13797;47338;17052;31167;52848;39601;23478;31978;46421;3410;895;2962;24074;39312;27465;27226;41459;54044;26263;73165;14146;2826;692;2708;15224;12308;57097;56051;51435;57230;35116
;Stykkishólmur;2511;5520;5989;1442;320;..;4;..;..;..;..;..;1627;3575;224;1418;93;..;10;11;..;..;..;..;3011;2931;5399;248;25;17;1775;485;..;473;11863;3608;13240;4828;6250;2065;661;2;38;..;1033;923;118;1129;2096;3317;1018;2259;..;..;..;12;..;5683;8643;1207;4480;3203;4044;..;..;..;..;..;772;1358;6892;70;31;772;897;..;..;..;..;..;..;1616;9232;17190;709;1032;340;..;4668;..;..;..;92;1147;71;9206;6686;4160;4439;6748;5879;2775;..;..;..;..;833;380;35285;11029;4520;1840;15884;229;4;2;..;..;2313;2632;66089;41630;7000;520;24096;2963;..;44;1528;9613;23965;43669;92458;42684;16429;556;4482;988;..;..;40;11265;20264;29672;76799;68549;5251;2506;4255;2185;165;6;2634;7297;19589;30530;108686;61633;14554;963;3516;..;8;..;23773;6144;6973;23404;79643;102829;8288;950;7035;179;369;13543;12220;115;10493;80248;160771;80616;10909;7996;10513;..;..;1012;66971;86398;77966;57113
;Súðavík;..;..;..;..;555;379;476;312;44;..;..;..;..;..;..;..;400;582;419;59;111;..;..;..;..;..;..;..;410;740;455;947;63;..;..;..;..;..;..;..;223;235;573;198;232;..;..;..;..;87;..;..;317;4787;1542;2204;14;..;..;..;..;..;..;12;108;..;267;681;199;..;..;..;..;..;..;..;178;372;..;243;335;..;..;..;..;..;..;..;564;159;281;32;14;..;..;..;..;719;1361;..;..;142;167;2625;53;5;..;..;..;..;..;463;31;317;96;40;4;..;..;..;224;..;..;..;..;6320;1630;95;17;..;..;..;..;..;2433;420;172;333;402;891;..;..;..;..;..;..;..;..;262;2174;2088;1570;9;..;..;..;2282;6529;1990;5337;38971;16592;5200;..;7360;8584;..;..;382;5257;7196;3941;17429;545;357;59;14;..;..;1792;889;6585;5149;11468;466;5831;155;23495;9172;21573;11656;..
;Suðureyri;193190;104492;40097;19635;26525;27537;55855;118819;108603;..;..;..;75470;108292;27813;7170;36028;31441;60412;106246;129447;168883;174653;122674;40606;11406;3275;13664;30928;39918;54132;145243;105636;207348;187636;152605;39927;14345;2315;16605;25386;21742;1955;81947;120574;141477;137408;93166;34168;8280;1278;10097;30830;48544;34969;74247;79789;66712;116927;68438;24866;26515;1941;2954;29003;106184;45800;113995;132669;156213;198923;41949;78829;29879;8625;2874;3559;10554;5717;31649;54791;81179;102526;41118;67550;35023;8532;84;19399;44742;79999;63793;68666;120403;74472;64050;34494;81156;19119;3813;26882;41755;33765;89036;76438;105801;81914;75200;53324;58515;15897;674;37313;51205;42665;80076;55658;57181;56130;54800;77604;45081;9160;3455;42551;56459;47005;78472;86364;86533;53790;45783;26867;15695;51044;11447;58788;58956;49765;63853;44051;74301;69139;50908;67083;73407;5803;1506;22132;48351;60857;62536;118624;78419;94955;41041;51441;36853;11407;16776;59146;32959;45506;52969;106128;101849;80069;58402;47123;45821;30496;13435;51581;85065;63597;109217;83147;83214;86538;62964;109134;49732;50688;8422;115567;130215;123271;139512;168189;81380;126897;97717
;Tálknafjörður;48843;15234;..;599;7651;5648;..;..;..;..;..;..;25351;41463;26025;386;5214;11108;14458;35731;42222;74280;41293;34542;38673;9396;2682;..;13;10558;16073;44183;42275;75178;58704;31836;16108;22476;15047;..;22869;18;2;18070;11303;18855;25997;8404;20472;10312;4917;1738;20653;2466;16;11432;9299;33583;36548;32699;5536;10476;2359;358;13185;17506;2748;20639;23866;33212;25049;13549;10421;13012;10405;740;12442;5777;1638;3968;13051;315;19643;3335;8478;16845;14579;3532;20333;23718;..;5968;9428;11473;14101;7614;13255;22804;7004;3085;9256;2583;..;10;4123;5825;11024;4192;23831;24453;3374;1631;27141;5502;2535;6;8460;7521;5442;9250;24283;46270;16635;2008;16558;33496;2635;4780;15777;17463;8098;9143;48015;32659;38816;7868;25554;7431;1614;..;30240;21508;22865;27439;41744;51906;9931;5664;7798;9157;11713;2;62714;47513;64911;28569;36194;34820;4740;1882;16497;8;20;..;14846;26723;53723;24732;81653;24726;11310;7892;3530;5262;9356;4;44389;50113;36312;32138;51521;39834;41627;4444;16561;18478;648;10387;25085;27288;37040;26159
;Vestmannaeyjar;589898;419704;1083795;1236580;913773;323539;373825;429118;341210;..;..;..;608856;668680;1399932;2359217;1246742;771201;433281;177356;355338;432406;289013;303187;814384;556092;1139588;1224448;891858;685619;538826;137588;624103;431713;494961;208117;187508;134152;893367;1137962;844517;554779;443401;343861;691875;521718;742590;473047;787780;427861;979372;976200;603260;846157;761687;597407;374210;385951;466082;505778;398940;438511;739125;806431;418838;496023;864293;488805;585190;311309;290405;464440;913900;600974;876690;1821131;605364;328183;930346;485155;346863;233529;345339;224358;459140;275514;796698;1011259;752611;333286;915423;647385;319046;488055;574509;287483;537;131531;969949;892742;459422;289471;803137;302459;156936;310699;168247;158114;244486;354266;482253;652618;602260;336294;535165;323629;233715;225442;157586;179503;301829;221491;488205;714116;257330;555623;602073;513563;212489;263550;236029;152122;317748;442597;468264;568536;463998;269239;427087;65505;142372;232344;219128;67751;316700;269778;296466;372031;432642;73912;49844;73471;179514;215195;391357;140931;303592;323183;426026;413298;532492;155040;67716;24991;105753;236945;135521;108664;102884;95663;369714;465681;199758;37538;34766;53361;122902;132226;109415;86763;120350;233314;273994;284936;433273;77588;43712;13270;52081;69676;84256;140773
;Vogar;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;Vopnafjörður;..;18;3776;14;2411;14240;52638;39727;33233;..;..;..;..;..;..;..;81646;20421;49967;35293;207612;56350;77318;30;..;1395;76;2977;14508;16077;27025;17714;4989;29351;9291;..;118;128;62577;43;39;72;6491;14873;882;43580;3117;501;408;1049;90;37;1;11065;9887;11630;49124;2233;16831;13022;2225;..;..;12642;..;7364;5705;30940;27845;30578;613;..;643;701;1042;4;..;12001;12910;11156;39019;2257;2744;30;1283;108;842;29;..;193;40206;13306;38851;13745;8197;2665;1574;1109;..;29;..;14019;12046;1488;75268;26264;4215;1686;2668;1243;963;1492;15126;2307;10162;1239;34518;56140;7371;692;2776;1557;1918;122;8573;4146;10100;15676;28052;10725;32431;6659;1900;2810;599;623;4193;9035;39;8092;6876;25757;22219;3349;4145;2357;2729;379;13958;6822;1949;322;26400;13765;30250;6193;8954;4007;1434;52;15418;18299;12491;8505;10682;..;19197;2497;..;..;1160;101;6487;30204;48572;63441;42063;43955;17977;9045;9081;3393;1699;172;1626;69271;139984;92206;70833;22562;28436;6949
;Þingeyri;..;..;1409;1231;2547;21238;24735;63086;154215;..;..;..;..;..;541;64;1529;8929;19576;33488;46695;51313;53254;360;..;..;..;..;965;8261;23479;86583;76826;41524;17387;..;..;..;..;..;272;744;3111;32537;31375;24645;10855;..;..;46;..;19;8393;19266;13991;40246;57477;53037;8905;..;..;..;..;63;114;1088;4324;22773;75704;37071;..;..;..;37;..;342;1606;187;9977;66731;66416;71872;..;..;..;..;..;903;4372;1169;10628;57505;119080;137796;18708;..;..;..;..;106;5811;..;2146;16645;7950;56856;4425;57;..;..;..;137;758;..;7813;66416;28204;34855;8719;..;..;..;..;..;783;39716;3355;3258;1793;15893;6398;..;66221;4073;..;5055;22294;57;51974;38312;30926;31873;158;..;27358;96545;40745;13684;64708;7717;837;2760;127647;92562;66690;80887;21116;13052;..;..;144;1306;..;21390;101990;131026;117526;64063;18124;25370;7567;5691;6062;1004;225;..;77338;93132;126141;61472;22086;3644;7889;..;44;..;0;715;57536;121074;10539;14960
;Þorlákshöfn;149030;129180;927403;512547;388425;365545;189565;160352;250863;..;..;..;261632;314723;654466;918599;447703;264389;190200;141774;110456;214183;126141;150129;148327;268501;861973;463131;344578;188328;87265;188768;184481;255838;113991;126768;49314;116883;620562;494720;290848;190897;140615;57715;323765;394629;137593;104329;63838;197908;745204;556622;159365;28413;13757;155451;205424;266840;124851;51112;95276;91797;533788;482252;246090;57052;10014;34148;117416;273241;133834;155777;81379;79073;260231;402432;134905;111202;9388;29137;125289;301823;179273;54557;139942;69534;336272;428188;127564;117818;7956;34071;152076;210448;219366;34646;116071;52245;344949;287943;109194;36406;3933;40274;151896;66161;196807;43529;52429;111300;219299;283832;119777;58320;12234;20756;51755;14568;40489;23130;75510;103074;264807;118824;250599;50767;9302;28586;69735;181049;114501;26011;144075;131288;427380;207956;41499;13888;90674;4097;36990;47900;91526;23280;58756;105438;473927;85636;41325;68986;3294;7193;57046;124305;128385;58695;99279;152838;592020;248675;74035;37237;7935;7517;68227;152516;109096;60743;96071;204667;440923;388108;212935;37571;20827;12400;73423;131126;84187;75597;160404;288586;635797;660355;267058;34148;78790;26213;44536;47045;242201;148644
;Þórshöfn;45292;71690;9794;3059;477;27817;10384;34675;43752;..;..;..;31885;5781;4389;18291;2441;..;11088;9341;33641;152100;118425;1638;2554;6522;891;9189;1518;145;23138;17344;4792;3943;35570;35497;180;1106;5523;19539;28192;251;14826;12762;17103;11110;9826;5645;1597;6527;5621;15853;17546;140;2727;20665;59755;21278;30896;4759;3666;165;3674;19498;13105;1931;1092;24554;20472;20027;15942;5624;24514;352;648;112760;73496;82;1816;35348;28684;23906;20252;13994;3060;18932;35;7440;81430;633;33944;34580;20873;30325;120711;22392;928;824;2557;1350;15685;2394;1778;7881;44101;53398;30491;3433;29367;17192;1571;6520;5848;7267;2539;29396;55068;69302;38309;18062;1712;7757;1414;680;7648;1541;8216;29574;59249;37152;32936;12330;39912;30510;9210;7050;9283;1142;9353;7359;63311;22781;16904;8751;..;45373;18135;688;8598;33;3028;13547;58159;50052;92821;22696;521;108;2788;1969;28662;265;1667;6808;13147;27380;42164;953;2421;2049;4162;363;291;878;12892;20088;58060;7866;74494;9679;6617;1275;723;331;958;383;5573;76849;18129;641;73999;388
;Danmörk;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;Færeyjar;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;Grænland;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;3265;1969;1520;..;166;..;62;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;Holland;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
